Producto,Tipo,Volumen,Peso,Retornable,familia_inferida,categoria_logistica,zona_recomendada,prioridad_acceso,requiere_lateral,fragil,pesado,apilable,retorno_dinamico,orden_carga_recomendado,regla_aplicada
0AM0783,CAJ,FA05A2,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0582,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0RF0088,CAJ,CB06A2,,No,Refresco/zumo,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0RF0091,CAJ,ZCG,,No,Refresco/zumo,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0RF0109,CAJ,DB06A1,,No,Refresco/zumo,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0RF0260,CAJ,ZCG,,No,Refresco/zumo,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0RF0296,CAJ,CB06A3,,No,Refresco/zumo,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0VE0025,CAJ,ZCG,,No,Vino,Caja estándar,Zona general,Media,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo CAJ => caja estándar
PL13,UN,AAAAAA,,No,Otro,Unidad estándar,Zona flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN => unidad estándar flexible
0AG0035,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0036,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0038,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0046,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0052,CAJ,EA01A3,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0078,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0079,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0080,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0081,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
0AG0082,CAJ,ZCG,,No,Agua/envase,Caja bebida pesada,Parte baja / zona estable,Media,No,No,Sí,Sí,No,Cargar abajo para estabilidad,Caja de bebida/agua/refresco => pesada y estable
