Ruta,num_clientes,repartidor,vehiculo,zonas
DR0051,699,855190,11420393,"ARBÚCIES, BELLPUIG, CALLDETENES, CAMPRODON, FOLGUEROLES, GURB"
DR0017,683,850018,11420416,"CORRO D´AVALL, GRANOLLERS, Granollers, MARTORELLES, MOLLET DEL VALLES, MOLLET DEL VALLÈS"
DR0016,612,850001,11420417,"BARCELONA, BELLAVISTA, CANOVELLES, CORRO D´AVALL, FRANQUESES DEL VALLES (LES), GRANOLLERS"
DR0010,542,850010,11420331,"BARCELONA, BELLAVISTA, CANOVELLES, CORRO D´AVALL, FRANQUESES DEL VALLES (LES), GRANOLLERS"
DR0006,519,850006,11420379,"LLIÇA DE VALL, MARTORELLES, MOLLET DEL VALLES, MOLLET DEL VALLÈS, Mollet del Vallès, PARETS DEL VALLES"
DR0050,505,855189,11420461,"CALLDETENES, FOLGUEROLES, GURB, LES MASIES DE VOLTREGÀ, MANLLEU, MONTESQUIU"
DR0001,488,850004,11561587,"BARBERÀ DEL VALLÈS, BARCELONA, BELLAVISTA, CALDES DE MONTBUI, CORRO D´AVALL, FRANQUESES DEL VALLES (LES)"
DR0023,480,850013,11420328,"BARBERÀ DEL VALLÈS, CALDES DE MONTBUI, GRANOLLERS, LLI#A D'AMUNT, LLI#A DE VALL, LLIÇA DE VALL"
DR0040,435,850084,11420329,"BARBERÀ DEL VALLÈS, BELLAVISTA, CALLDETENES, CENTELLES, EL BRULL, GRANOLLERS"
DR0038,435,850004,11538162,"BARBERÀ DEL VALLÈS, BARCELONA, BELLAVISTA, CALLDETENES, CANOVELLES, CORRO D´AVALL"
DR0032,428,850014,11420415,"BIGUES I RIELLS, CANOVELLES, GRANOLLERS, LLI#A D'AMUNT, LLI#A DE VALL, LLIÇA D'AMUNT"
DR0011,420,850009,11426421,"BARBERÀ DEL VALLÈS, BARCELONA, BELLAVISTA, CORRO D´AVALL, FRANQUESES DEL VALLES (LES), GRANOLLERS"
DR0054,400,855205,11420334,"CALLDETENES, EL BRULL, FOLGUEROLES, GRANOLLERS, GURB, LES MASIES DE RODA"
DR0027,398,850004,11420414,"BARCELONA, CALLDETENES, FOLGUEROLES, GRANOLLERS, GURB, LES MASIES DE RODA"
DR0045,285,850000,11420516,"AVINYÓ, BADALONA, BARCELONA, BELLAVISTA, CALLDETENES, CANOVELLES"
DA0216,247,855203,11420136,"ARBÚCIES, BADALONA, BARCELONA, BELLPUIG, BIGUES I RIELLS, CALDES DE MONTBUI"
DR0031,236,850021,11447047,"CANOVELLES, GRANOLLERS, MARTORELLES, MONTMELO, MONTMELÓ, MONTORNES DEL VALLES"
DR0052,85,855184,11420391,"BARCELONA, CALLDETENES, GRANOLLERS, GURB, LA LLAGOSTA, MANLLEU"
