Ruta,Repartidor,Vehículo,Clientes
DA0216,855203,11420136,LOS TERESITOS
DR0054,855205,11420334,HOSPITAL DE MANLLEU CUINA
DR0054,855205,11420334,HOSPITAL DE MANLLEU CAFETERIA
DR0054,855205,11420334,BAR OLIVEDA
DR0054,855205,11420334,COMERCIAL F.LEIVA
DR0054,855205,11420334,ESCOLA D'HOSTALERIA D'OSONA
DR0006,850006,11420379,RACO DEL SEMI CACHOPO
DR0006,850006,11420379,BAR GRANADA
DR0006,850006,11420379,PALENTINO BAR
DR0006,850006,11420379,PLAZA DONER KEBAB
DR0006,850006,11420379,MANEL BAR
DR0006,850006,11420379,EL GARBI BAR
DR0006,850006,11420379,VENECIA BAR
DR0001,850012,11420332,TENTACION II
DR0001,850012,11420332,EXTREMEÑOS BAR
DR0001,850012,11420332,FORN L'ANTIC
DR0001,850012,11420332,ESTUDIANTIL BAR
DR0001,850012,11420332,BRACAFE
DR0001,850012,11420332,LA GAMBA BAR
DR0010,850010,11420331,La Sala
DR0010,850010,11420331,BAR LA PETRA II
DR0010,850010,11420331,RINCON DEL DUENDE
DR0040,850084,11420330,SUSHI HE GRANOLLERS
DR0040,850084,11420329,PADELIN
DR0040,850084,11420329,RESTAURANTE MERITXELL
DR0040,850084,11420329,RSTE. LA PAGESA
DR0040,850084,11420329,RSTE. BONA TAULA
DR0023,850013,11420328,RESTAURANTE EUROPEO CONGOST
DR0023,850013,11420328,RSTE. L'OLIVE
DR0023,850013,11420328,LA FLECA D'EN GREC
DR0023,850013,11420328,CAN RAJOLER
DR0038,850011,11420327,IBERICUS CENTRAL
DR0038,850011,11420326,IBERICUS CENTRAL
DR0038,850011,11420325,FELIUBADALO
DA0216,855203,11420324,AUTENTIK'S
DA0216,855203,11420324,VALERO VALLES
DR0006,850006,11420379,BAR CHAMPANILLO
DR0051,855190,11420393,EL 9 TONI PETIT
DR0051,855190,11420393,BAR STACJA PL
DR0051,855190,11420393,Bagel Coffee
DR0051,855190,11420393,CANTINA IES VIC ST TOMAS
DR0051,855190,11420393,CAFETERIA SANT TOMÀS
DR0051,855190,11420393,PANADERIA GRANIER
DR0051,855190,11420393,FORN SANT ALBERT
DR0051,855190,11420393,PADEL OSONA VIC
DR0051,855190,11420393,GRANGES LA CATALANA
DR0051,855190,11420393,RESTAURANT ELS PERNILS
DR0051,855190,11420393,"MINI BRINDIS, BAR"
DR0051,855190,11420393,CANTABRIA RESTAURANT
DR0051,855190,11420393,EL CAPUTXI
DR0050,855189,11420461,BAR DOBLE Z
DR0050,855189,11420461,LA CABANYA CAFETERIA
DR0050,855189,11420461,BAR TREBOL
DR0050,855189,11420461,CASAL GENT GRAN ST.VICENÇ TORELLO
DR0050,855189,11420461,BAR MONTSERRAT
DR0050,855189,11420461,BAR RACO JUVENIL
DR0050,855189,11420461,BAR XANIA
DR0050,855189,11420461,BRASSERIA EL TRIANGLE COHO
DR0050,855189,11420461,PENSIO EL TREVOL
DR0050,855189,11420461,CA L'ANGEL BAR
DR0050,855189,11420461,PRIMER EXPRESS
DR0052,855184,11420392,LLAVORS I CEREALS FONT
DR0052,855184,11420391,HOSPITAL DE VIC CUINA
DR0052,855184,11420391,HOSPITAL DE VIC CAFETERIA
DR0052,855184,11420391,DROGUERIA JUNYENT
DR0016,850001,11420417,CAN BIN RESTAURANTE
DR0016,850001,11420417,RESTAURANT NOU CAP MANY
DR0016,850001,11420417,EL TIRO DE GRANOLLERS
DR0016,850001,11420417,BAR RUI
DR0016,850001,11420417,BAR MALENO II
DR0017,850018,11420416,EPICUS BAR
DR0017,850018,11420416,MIXU#S CAT CAFE
DR0017,850018,11420416,SHINGARI SUSHI BAR
DR0017,850018,11420416,BAR LA GRALLA
DR0017,850018,11420416,CA LA SETE
DR0017,850018,11420416,ALORA
DR0017,850018,11420416,"L,ESTACIO DE SERVEI"
DR0032,850014,11420415,AKI MISMO
DR0032,850014,11420415,LLEVANTPARK SL
DR0032,850014,11420415,BAR SAGITARIO
DR0027,850004,11420414,Forn de Pa Gaba
DR0027,850004,11420414,BAR JALEY BAKERY
DR0027,850004,11420414,CAFETERIA ANGELA
DR0027,850004,11420414,FORN VALERO
DR0027,850004,11420414,GRANJA VINALLONGA
DR0027,850004,11420414,SANLUQUEÑOS BAR
DR0027,850004,11420414,SUPERMERCADO GASOLINERA DISCAU
DR0027,850004,11420414,BAR 28
DR0027,850004,11420414,RESTAURANTE MARCOS
DR0050,855189,11420461,FONDA VILASECA
DR0045,850000,11420516,CRISTIAN LORENTE AINAUD
DR0017,850018,11420416,RESTAURANTE PALOU
DR0045,850000,11424183,XAVIER FERRANDIZ RIBA
DR0045,850000,11424183,VENDES MAGATZEM
DR0016,850001,11424196,FRANKFURT ARIES
DR0016,850001,11424196,IMPERIAL
DR0016,850001,11424196,PADEL INDOOR GRANOLLERS
DR0016,850001,11424196,CAFE DE LA CORONA
DR0006,850006,11424401,BAR CHAMPANILLO
DR0023,850013,11424829,LA ROCA VILLAGE RTE PASARELA (GVC)
DR0054,855205,11424839,Comercial  Bebidas Burj SL
DR0054,855205,11424838,Comercial  Bebidas Burj SL
DR0027,850004,11424927,CAL TETE SANT FOST
DR0001,850012,11426178,ALAIA COFFE BAR 
DR0001,850012,11426178,LA TAVERNA DE CAN PANTIQUET
DR0001,850012,11426178,BAR ESPERANZA
DR0001,850012,11426178,KAPHIY BRUNCH
DR0001,850012,11426178,BAR ALMANSA
DR0001,850012,11426178,RACO DEL SEMI CACHOPO
DR0001,850012,11426178,BAR RESTAURANTE FRETES
DR0001,850012,11426178,BROTHERS
DR0001,850012,11426178,MAFALDA
DR0001,850012,11426178,TINO FRANKFURT
DR0001,850012,11426178,RESTAURANT KENFIR
DR0001,850012,11426178,BAR EL DOFI
DR0001,850012,11426178,CAFETERIA ESCLAT
DR0001,850012,11426178,LA GAMBA BAR
DR0001,850012,11426178,BK MOLLET
DR0006,850006,11426177,BAR CRISTASOL  (Kebab Esquina)
DR0006,850006,11426177,PITAPES BERENGUER
DR0006,850006,11426177,BAR CORALEX
DR0006,850006,11426177,TASTY DONNER KEBAB
DR0006,850006,11426177,"PITAPES CALDERI 3 BRANQUES VALLES ,"
DR0006,850006,11426177,PALENTINO BAR
DR0006,850006,11426177,ANDALUCIA BAR RTE.(C.11 SETEMBRE)
DR0006,850006,11426177,CABAÑA DEL TIO TOM BAR
DR0006,850006,11426177,RENFE NORD CANTINA
DR0040,850084,11426271,CAFETERIA LA CANTONADA
DR0040,850084,11426271,BAR RTE DOCTÑE
DR0040,850084,11426271,MARTU CITY
DR0040,850084,11426271,PEPE.COM
DR0040,850084,11426271,RAIGUER III
DR0040,850084,11426271,PARADIS GRANJA
DR0040,850084,11426271,BAR CABALLERO (OCAÑA)
DR0040,850084,11426271,(RESTAURANT) SPORT & HEALTH OXIGEN
DR0010,850010,11426176,SUSHI HE GRANOLLERS
DR0010,850010,11426175,BRUNCH 4.12 MUSIC
DR0010,850010,11426175,CAFETERIA ANGELA
DR0010,850010,11426175,FAMILIAR BAR RESTAURANTE
DR0010,850010,11426175,BAR JOAN
DR0010,850010,11426175,DELS CASTANYERS RESTAURANT
DR0010,850010,11426175,LA ROSA BAR
DR0010,850010,11426175,CAL TETE SANT FOST
DR0010,850010,11426175,LA CUPULA BAR
DR0051,855190,11426311,RESTAURANT NOU PAMPLONA HIGIENE
DR0051,855190,11426311,BAR DE LA BENZINERA HIGIENE
DR0051,855190,11426311,BAR TENNIS VIC
DR0051,855190,11426311,VIC HOQUEI CLUB
DR0051,855190,11426311,BAR DE LA BENZINERA
DR0051,855190,11426311,LA COCA DE FOLGUEROLES
DR0051,855190,11426311,CAFETERIA ATREZZO
DR0051,855190,11426311,BAR KARNAK
DR0051,855190,11426311,BAR RTE.ZEFIR BEGUDES
DR0051,855190,11426311,RESTAURANT NOU PAMPLONA
DR0027,850004,11426280,INDUSTRIA 52
DR0027,850004,11426280,ALASKA BAR
DR0027,850004,11426280,BAR REST EL TAST
DR0027,850004,11426280,ZONA DIESEL URBAN
DR0027,850004,11426280,CAFETERIA PRADALS
DR0027,850004,11426280,TKBNA
DR0027,850004,11426280,LA TAGLIATELLA POLIGON
DR0027,850004,11426280,JAUME GIL MARES
DR0027,850004,11426280,GURBI
DR0027,850004,11426280,FRANKFURT C'JOAN
DR0027,850004,11426280,E.S VIC
DR0027,850004,11426280,RESTAURANT UNTOK
DR0027,850004,11426280,GARBI 1 CAFET. ALIMENTACIO
DR0027,850004,11426280,MGA GP VIC
DR0027,850004,11426280,TACO BELL VIC
DR0027,850004,11426280,BK VIC
DR0054,855205,11426279,ENTREPA I PA
DR0054,855205,11426279,BUSVIC
DR0054,855205,11426279,RESTAURANT CROAKS VIC
DR0054,855205,11426279,INDIA RAMBLA
DR0054,855205,11426279,CAFETERIA VIVARI
DR0054,855205,11426279,LLAR JUVENIL
DR0054,855205,11426279,BAR LA TASCA
DR0054,855205,11426279,FORN EL VERDAGUER
DR0054,855205,11426279,BAR ESTACIO RENFE
DR0054,855205,11426279,BOCATTI BAR
DR0054,855205,11426279,TRINACRIA
DR0054,855205,11426279,BAR LA TORTUGA
DR0054,855205,11426279,GARBI BISTROT
DR0054,855205,11426279,FORN ESTADI
DR0054,855205,11426279,BAR LA PISTA
DR0054,855205,11426279,FUSSIMANYA ESTADI
DR0054,855205,11426279,EL PONT GOTIC
DR0050,855189,11426278,BAR NO HO SE
DR0050,855189,11426278,BAR XINO XANO
DR0050,855189,11426278,BAR TORNEM-HI
DR0050,855189,11426278,FRANKFURT ES-3
DR0050,855189,11426278,BAR XICRA
DR0050,855189,11426277,BAR COOPERATIVA
DR0050,855189,11426277,BAR PUNT DE TROBADA
DR0050,855189,11426277,FERRO
DR0050,855189,11426277,BAR CANIGO
DR0050,855189,11426277,BAR RACO JUVENIL
DR0050,855189,11426277,E.S. RODA ( BOTIGA )
DR0050,855189,11426277,CAFE DE L'ESGLESIA
DR0050,855189,11426277,BAR ESTACIO SERVEI FEIXES AULET ROD
DR0050,855189,11426277,KBCIK
DR0050,855189,11426277,CAL NAN
DR0050,855189,11426277,SUPERMERCAT ROVIRA
DR0050,855189,11426277,DCAFE
DR0050,855189,11426277,LA TAVERNA
DR0050,855189,11426277,JORDI FERNANDEZ GODOY
