Ruta,Repartidor,Vehículo,orden_recomendado,orden_original,Clientes,ClienteID,Nombre,Dirección,Zona,horario_inicio,horario_fin,criterio_orden
DA0216,855203,11420136,1,1,LOS TERESITOS,9100696143,LOS TERESITOS,Carrer Llevant 2,MONTCADA I REIXAC,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11420324,1,1,AUTENTIK'S,9100736471,AUTENTIK'S,Carrer de Fructuós Gelabert 1,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11420324,2,2,VALERO VALLES,9100527972,VALERO VALLES,CALLE FRANÇA 16,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,1,11,PISCINAS LES CREMADES,9100565225,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,CALDES DE MONTBUI,07:30,10:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,2,12,CAL TETE SANT FOST,9100055177,CAL TETE SANT FOST,AVENIDA SANT JERONI 13,SANT FOST DE CAMPSENTELLES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,3,9,AUTENTIK'S,9100736471,AUTENTIK'S,Carrer de Fructuós Gelabert 1,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,4,6,BAR LA PENYA - 2,9100743595,BAR LA PENYA - 2,CARRER DE L'ANOIA 7,SANT QUIRZE DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,5,10,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,6,2,CASAL CIVIC TERRASSA,9100747490,CASAL CIVIC TERRASSA,Carrer de Wagner 2,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,7,3,Bar Troika,9100745932,Bar Troika,Carrer del Germà Joaquim 55,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,8,4,FRANKFURT REITER,9100745929,FRANKFURT REITER,CALLE PINTOR HUGUET 62,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,9,5,BAR LA PENYA 1,9100743608,BAR LA PENYA 1,CARRETERA MONTCADA 148,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,10,7,FORN CAFETERIA AVENIDA,9100740458,FORN CAFETERIA AVENIDA,AVINGUDA D'ANGEL SALLENT 146,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,11,8,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11426340,12,1,BAR ZEMNU,9100751813,BAR ZEMNU,CARRETERA OLESA S/N,VILADECAVALLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,1,2,Somni d'estiu bar,9100736486,Somni d'estiu bar,Carrer d'Europa 1,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,2,6,Cafeteria Nova & Gent,9100736469,Cafeteria Nova & Gent,Carrer de Milà 22,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,3,5,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,4,1,CAFETERIA GAUDEIX,9100723139,CAFETERIA GAUDEIX,CALLE DEL CASAL 1,BIGUES I RIELLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,5,3,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11433262,6,4,CLUB DE GOLF SANT CUGAT,9100047575,CLUB DE GOLF SANT CUGAT,Carrer de Villà 79,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,1,5,B-VIKY,9100736227,B-VIKY,CALLE SANT JAUME 25,ARBÚCIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,2,9,PISCINAS LES CREMADES,9100565225,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,CALDES DE MONTBUI,07:30,10:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,3,2,BAR CASAL CAMPRODON,9100736411,BAR CASAL CAMPRODON,Plaça del Dr. Robert 1,CAMPRODON,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,4,3,BAR PETIT,9100736244,BAR PETIT,Carrer de Sant Quinti 45,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,5,6,CA L'ANNA,9100736220,CA L'ANNA,PLAZA CONSTITUCIO S/N,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,6,7,HOTEL RESGUARD DELS VENTS,9100736213,HOTEL RESGUARD DELS VENTS,CARRETERA GIV-5262 S/N,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,7,1,Pavelló Municipal de Ripoll,9100747990,Pavelló Municipal de Ripoll,Carrer de Concepció Ducloux s/n,RIPOLL,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,8,8,ELS PAGESOS,9100736185,ELS PAGESOS,N-260 104,SANT JOAN DE LES ABADESSES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11438618,9,4,HOSTAL CAL XIC,9100736229,HOSTAL CAL XIC,Carrer del Freixa 1,SANT PAU DE SEGÚRIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11443519,1,1,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11443519,2,2,DOLC I SALAT MATARO,9100474233,DOLC I SALAT MATARO,RONDA FRANCESC MACIA 18,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11445776,1,1,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,1,8,PISCINAS LES CREMADES,9100565225,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,CALDES DE MONTBUI,07:30,10:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,2,9,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,3,4,BAR LA PENYA - 2,9100743595,BAR LA PENYA - 2,CARRER DE L'ANOIA 7,SANT QUIRZE DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,4,7,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,5,1,CASAL CIVIC TERRASSA,9100747490,CASAL CIVIC TERRASSA,Carrer de Wagner 2,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,6,2,BAR LA PENYA 1,9100743608,BAR LA PENYA 1,CARRETERA MONTCADA 148,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,7,3,EL PUNT DE TROBADA,9100743597,EL PUNT DE TROBADA,CARRER COLOM 209,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,8,5,FORN CAFETERIA AVENIDA,9100740458,FORN CAFETERIA AVENIDA,AVINGUDA D'ANGEL SALLENT 146,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453650,9,6,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
